freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.064e+02,1.700e+01,1.073e+01,5.342e+02
1.5,3.124e+02,8.137e+01,4.113e+01,4.349e+02
3.1,8.729e+01,9.121e+01,4.309e+01,2.216e+02
4.6,3.761e+02,9.122e+01,4.612e+01,5.134e+02
6.2,1.079e+03,9.075e+01,4.593e+01,1.216e+03
7.7,1.661e+03,8.056e+01,4.430e+01,1.786e+03
9.2,2.439e+03,9.263e+01,4.787e+01,2.579e+03
10.8,3.306e+03,1.005e+02,4.760e+01,3.454e+03
12.3,4.421e+03,9.015e+01,4.475e+01,4.556e+03
13.9,5.755e+03,1.010e+02,4.703e+01,5.903e+03
15.4,7.342e+03,1.047e+02,5.321e+01,7.500e+03
17.0,8.181e+03,1.047e+02,5.624e+01,8.341e+03
18.5,8.607e+03,1.049e+02,5.992e+01,8.772e+03
20.0,9.272e+03,1.038e+02,5.398e+01,9.429e+03
21.6,9.357e+03,1.150e+02,4.483e+01,9.516e+03
23.1,1.101e+04,1.300e+02,4.727e+01,1.119e+04
24.7,1.382e+04,1.383e+02,5.070e+01,1.401e+04
26.2,1.682e+04,1.396e+02,6.266e+01,1.703e+04
27.7,1.934e+04,1.328e+02,6.473e+01,1.953e+04
29.3,2.251e+04,1.447e+02,6.329e+01,2.272e+04
30.8,2.480e+04,1.272e+02,7.632e+01,2.501e+04
32.4,2.631e+04,1.146e+02,9.096e+01,2.652e+04
33.9,2.881e+04,1.094e+02,1.059e+02,2.902e+04
35.5,3.153e+04,1.099e+02,1.313e+02,3.177e+04
37.0,3.438e+04,1.171e+02,1.526e+02,3.465e+04
38.5,3.729e+04,1.087e+02,1.700e+02,3.757e+04
40.1,4.012e+04,9.257e+01,2.073e+02,4.042e+04
41.6,4.447e+04,8.920e+01,2.551e+02,4.482e+04
43.2,4.839e+04,9.184e+01,3.105e+02,4.879e+04
44.7,5.186e+04,9.816e+01,3.887e+02,5.235e+04
46.2,5.862e+04,8.969e+01,5.060e+02,5.921e+04
47.8,6.588e+04,1.071e+02,5.239e+02,6.651e+04
49.3,6.997e+04,1.340e+02,4.255e+02,7.053e+04
50.9,7.360e+04,1.243e+02,3.546e+02,7.408e+04
52.4,8.240e+04,1.065e+02,3.443e+02,8.285e+04
54.0,9.326e+04,1.058e+02,4.072e+02,9.377e+04
55.5,1.036e+05,1.128e+02,5.509e+02,1.043e+05
57.0,1.118e+05,1.072e+02,9.337e+02,1.129e+05
58.6,1.202e+05,1.271e+02,1.880e+03,1.222e+05
60.1,1.348e+05,1.610e+02,4.650e+03,1.396e+05
61.7,1.511e+05,3.460e+02,1.373e+04,1.652e+05
63.2,1.671e+05,8.110e+02,3.059e+04,1.985e+05
64.7,1.874e+05,1.046e+03,3.586e+04,2.243e+05
66.3,2.074e+05,8.276e+02,2.500e+04,2.332e+05
67.8,2.121e+05,5.622e+02,1.371e+04,2.264e+05
69.4,2.331e+05,3.967e+02,7.284e+03,2.408e+05
70.9,2.700e+05,3.311e+02,4.473e+03,2.749e+05
72.5,3.338e+05,3.182e+02,3.539e+03,3.376e+05
74.0,4.133e+05,3.602e+02,3.353e+03,4.171e+05
75.5,5.080e+05,4.345e+02,3.362e+03,5.118e+05
77.1,6.445e+05,5.355e+02,3.528e+03,6.486e+05
78.6,8.242e+05,7.070e+02,3.508e+03,8.284e+05
80.2,1.162e+06,1.055e+03,3.994e+03,1.167e+06
81.7,1.369e+06,1.248e+03,4.263e+03,1.375e+06
83.2,1.663e+06,1.488e+03,4.714e+03,1.669e+06
84.8,2.463e+06,2.059e+03,6.711e+03,2.471e+06
86.3,3.573e+06,2.992e+03,8.844e+03,3.585e+06
87.9,4.333e+06,3.957e+03,9.369e+03,4.346e+06
89.4,3.240e+06,2.717e+03,5.687e+03,3.248e+06
91.0,2.184e+06,1.573e+03,2.824e+03,2.188e+06
92.5,2.005e+06,1.356e+03,2.098e+03,2.008e+06
94.0,2.011e+06,1.334e+03,1.571e+03,2.014e+06
95.6,2.084e+06,1.506e+03,1.205e+03,2.087e+06
97.1,1.972e+06,1.582e+03,1.107e+03,1.975e+06
98.7,1.907e+06,1.852e+03,1.342e+03,1.910e+06
100.2,1.971e+06,2.156e+03,1.208e+03,1.974e+06
101.7,1.916e+06,2.520e+03,1.729e+03,1.920e+06
103.3,1.725e+06,2.614e+03,2.060e+03,1.730e+06
104.8,1.274e+06,2.044e+03,1.716e+03,1.278e+06
106.4,8.401e+05,1.359e+03,1.237e+03,8.427e+05
107.9,5.463e+05,9.375e+02,7.165e+02,5.480e+05
109.5,3.799e+05,8.305e+02,4.037e+02,3.811e+05
111.0,2.876e+05,8.249e+02,2.729e+02,2.887e+05
112.5,2.638e+05,8.540e+02,3.346e+02,2.649e+05
114.1,2.774e+05,1.024e+03,4.391e+02,2.789e+05
115.6,3.342e+05,1.423e+03,7.546e+02,3.364e+05
117.2,3.807e+05,1.770e+03,1.293e+03,3.837e+05
118.7,3.856e+05,1.925e+03,1.901e+03,3.895e+05
120.2,3.741e+05,1.909e+03,2.530e+03,3.786e+05
121.8,3.629e+05,1.828e+03,2.768e+03,3.675e+05
123.3,3.495e+05,1.799e+03,2.811e+03,3.541e+05
124.9,3.338e+05,1.944e+03,4.581e+03,3.403e+05
126.4,3.229e+05,2.191e+03,7.549e+03,3.326e+05
128.0,3.243e+05,2.252e+03,1.109e+04,3.376e+05
129.5,3.318e+05,1.951e+03,1.538e+04,3.491e+05
131.0,3.414e+05,1.642e+03,1.751e+04,3.605e+05
132.6,2.257e+05,1.070e+03,1.095e+04,2.377e+05
134.1,4.549e+04,2.946e+02,1.857e+03,4.764e+04
135.7,1.786e+04,1.912e+02,4.979e+02,1.854e+04
137.2,1.646e+04,1.970e+02,3.997e+02,1.706e+04
138.7,1.525e+04,1.915e+02,3.115e+02,1.575e+04
140.3,1.455e+04,1.796e+02,2.373e+02,1.497e+04
