freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.817e+01,1.398e+02,4.695e+02,6.375e+02
1.5,1.314e+02,5.223e+02,4.870e+02,1.141e+03
3.1,1.987e+02,7.572e+02,2.942e+02,1.250e+03
4.6,2.014e+02,8.078e+02,5.919e+02,1.601e+03
6.2,2.424e+02,1.013e+03,1.439e+03,2.694e+03
7.7,1.858e+02,8.947e+02,1.938e+03,3.018e+03
9.3,1.587e+02,7.897e+02,2.889e+03,3.838e+03
10.8,1.717e+02,8.516e+02,3.595e+03,4.619e+03
12.3,1.523e+02,7.495e+02,4.213e+03,5.115e+03
13.9,1.530e+02,8.583e+02,5.419e+03,6.431e+03
15.4,1.658e+02,9.449e+02,6.937e+03,8.048e+03
17.0,1.930e+02,1.023e+03,8.677e+03,9.894e+03
18.5,1.749e+02,1.154e+03,1.087e+04,1.220e+04
20.1,1.766e+02,1.421e+03,1.376e+04,1.536e+04
21.6,1.537e+02,1.425e+03,1.632e+04,1.790e+04
23.1,1.929e+02,1.603e+03,1.955e+04,2.134e+04
24.7,1.742e+02,1.735e+03,2.367e+04,2.558e+04
26.2,2.108e+02,2.080e+03,2.733e+04,2.962e+04
27.8,2.513e+02,2.388e+03,2.986e+04,3.250e+04
29.3,2.702e+02,2.557e+03,2.914e+04,3.196e+04
30.8,2.227e+02,2.312e+03,2.928e+04,3.181e+04
32.4,2.293e+02,2.291e+03,3.195e+04,3.447e+04
33.9,1.961e+02,2.288e+03,3.729e+04,3.978e+04
35.5,1.946e+02,2.328e+03,4.416e+04,4.668e+04
37.0,2.511e+02,2.658e+03,5.109e+04,5.400e+04
38.6,2.241e+02,2.773e+03,5.768e+04,6.067e+04
40.1,2.157e+02,2.714e+03,6.497e+04,6.790e+04
41.6,2.166e+02,2.851e+03,7.753e+04,8.059e+04
43.2,1.952e+02,3.338e+03,9.155e+04,9.508e+04
44.7,2.051e+02,4.065e+03,1.081e+05,1.123e+05
46.3,2.204e+02,5.410e+03,1.371e+05,1.428e+05
47.8,1.961e+02,6.285e+03,1.638e+05,1.703e+05
49.4,2.049e+02,5.194e+03,1.732e+05,1.786e+05
50.9,2.027e+02,3.298e+03,1.907e+05,1.942e+05
52.4,1.842e+02,2.524e+03,2.497e+05,2.524e+05
54.0,1.924e+02,2.084e+03,3.547e+05,3.570e+05
55.5,2.178e+02,1.503e+03,5.303e+05,5.320e+05
57.1,2.718e+02,1.300e+03,8.277e+05,8.293e+05
58.6,4.386e+02,6.906e+03,1.609e+06,1.616e+06
60.2,6.142e+02,2.801e+04,2.465e+06,2.494e+06
61.7,5.263e+02,4.476e+04,2.049e+06,2.094e+06
63.2,3.370e+02,4.668e+04,1.218e+06,1.265e+06
64.8,2.184e+02,4.509e+04,6.716e+05,7.169e+05
66.3,1.916e+02,4.277e+04,3.720e+05,4.150e+05
67.9,1.790e+02,3.882e+04,1.990e+05,2.380e+05
69.4,1.823e+02,4.051e+04,1.111e+05,1.518e+05
70.9,1.822e+02,4.894e+04,6.507e+04,1.142e+05
72.5,2.001e+02,6.268e+04,3.801e+04,1.009e+05
74.0,2.768e+02,8.338e+04,2.762e+04,1.113e+05
75.6,4.033e+02,1.209e+05,4.301e+04,1.644e+05
77.1,8.022e+02,2.048e+05,1.324e+05,3.380e+05
78.7,1.943e+03,3.754e+05,3.862e+05,7.636e+05
80.2,2.518e+03,4.762e+05,6.289e+05,1.108e+06
81.7,2.030e+03,3.886e+05,6.152e+05,1.006e+06
83.3,1.697e+03,2.657e+05,4.837e+05,7.511e+05
84.8,1.692e+03,2.234e+05,4.523e+05,6.774e+05
86.4,1.972e+03,2.140e+05,4.704e+05,6.864e+05
87.9,1.924e+03,2.026e+05,4.753e+05,6.798e+05
89.5,1.859e+03,1.629e+05,4.330e+05,5.977e+05
91.0,1.744e+03,1.269e+05,3.842e+05,5.128e+05
92.5,1.582e+03,1.099e+05,3.598e+05,4.713e+05
94.1,1.508e+03,9.112e+04,3.261e+05,4.188e+05
95.6,1.389e+03,7.558e+04,2.928e+05,3.698e+05
97.2,1.378e+03,6.507e+04,2.692e+05,3.356e+05
98.7,1.437e+03,5.709e+04,2.492e+05,3.077e+05
100.3,1.541e+03,5.050e+04,2.319e+05,2.839e+05
101.8,1.724e+03,4.506e+04,2.150e+05,2.617e+05
103.3,1.804e+03,3.884e+04,1.947e+05,2.354e+05
104.9,1.623e+03,2.865e+04,1.539e+05,1.842e+05
106.4,1.718e+03,2.344e+04,1.375e+05,1.627e+05
108.0,2.070e+03,2.201e+04,1.444e+05,1.685e+05
109.5,2.608e+03,2.110e+04,1.563e+05,1.800e+05
111.0,3.053e+03,2.133e+04,1.706e+05,1.949e+05
112.6,3.538e+03,2.095e+04,1.758e+05,2.002e+05
114.1,3.968e+03,2.038e+04,1.808e+05,2.051e+05
115.7,4.353e+03,1.948e+04,1.818e+05,2.056e+05
117.2,4.682e+03,1.866e+04,1.822e+05,2.055e+05
118.8,4.883e+03,1.779e+04,1.831e+05,2.058e+05
